Ranking,Token,Palabra,Frecuencia,FrecuenciaRelativa,Porcentaje,FrecuenciaAcumulada,CoberturaAcumulada
1,536,de,250284,0.0818589281,8.185893,250284,8.185893
2,537,la,135800,0.0444153139,4.441531,386084,12.627424
3,538,el,118726,0.0388310203,3.883102,504810,16.510526
4,539,en,98590,0.0322452563,3.224526,603400,19.735052
5,540,que,86335,0.0282370849,2.823708,689735,22.558760
6,541,los,54469,0.0178148581,1.781486,744204,24.340246
7,542,del,48016,0.0157043131,1.570431,792220,25.910677
8,543,se,37929,0.0124052168,1.240522,830149,27.151199
9,544,por,36980,0.0120948329,1.209483,867129,28.360682
10,545,las,35570,0.0116336724,1.163367,902699,29.524050
11,546,un,34258,0.0112045642,1.120456,936957,30.644506
12,547,con,26241,0.0085824908,0.858249,963198,31.502755
13,548,una,25511,0.0083437340,0.834373,988709,32.337129
14,549,para,24326,0.0079561629,0.795616,1013035,33.132745
15,550,al,22384,0.0073210043,0.732100,1035419,33.864845
16,551,su,21753,0.0071146268,0.711463,1057172,34.576308
17,552,no,18221,0.0059594362,0.595944,1075393,35.172252
18,553,es,12621,0.0041278769,0.412788,1088014,35.585039
19,554,como,12365,0.0040441484,0.404415,1100379,35.989454
20,555,fuentes,11754,0.0038443122,0.384431,1112133,36.373885
21,556,más,10637,0.0034789815,0.347898,1122770,36.721784
22,557,fue,10564,0.0034551059,0.345511,1133334,37.067294
23,558,lo,9491,0.0031041660,0.310417,1142825,37.377711
24,559,ha,9243,0.0030230541,0.302305,1152068,37.680016
25,560,este,8756,0.0028637738,0.286377,1160824,37.966394
26,561,sus,7212,0.0023587868,0.235879,1168036,38.202272
27,562,presidente,7032,0.0022999152,0.229992,1175068,38.432264
28,563,entre,6265,0.0020490570,0.204906,1181333,38.637169
29,564,país,6235,0.0020392451,0.203925,1187568,38.841094
30,565,gobierno,5989,0.0019587873,0.195879,1193557,39.036973
31,566,también,5794,0.0018950098,0.189501,1199351,39.226474
32,567,dos,5623,0.0018390818,0.183908,1204974,39.410382
33,568,años,5415,0.0017710525,0.177105,1210389,39.587487
34,569,pero,5407,0.0017684360,0.176844,1215796,39.764331
